date,duration(min)
2018-03-02 06:58:00 PM,527
2018-03-02 11:50:00 AM,75
2018-03-01 07:21:00 PM,694
2018-03-01 11:26:00 AM,75
2018-03-01 04:55:00 AM,124
2018-02-28 07:45:00 PM,474
2018-02-28 06:16:00 PM,85
2018-02-28 12:30:00 PM,45
2018-02-28 05:45:00 AM,105
2018-02-27 06:39:00 PM,631
2018-02-27 01:44:00 PM,30
2018-02-27 12:57:00 PM,42
2018-02-27 08:53:00 AM,44
2018-02-27 08:00:00 AM,47
2018-02-26 10:30:00 PM,423
2018-02-26 07:20:00 PM,81
2018-02-26 05:57:00 PM,75
2018-02-26 11:10:00 AM,83
2018-02-26 05:44:00 AM,106
2018-02-25 07:11:00 PM,579
2018-02-25 02:03:00 PM,85
2018-02-25 09:20:00 AM,86
2018-02-24 06:21:00 PM,734
2018-02-24 01:29:00 PM,77
2018-02-24 08:45:00 AM,82
2018-02-23 06:40:00 PM,715
2018-02-23 11:20:00 AM,84
2018-02-22 06:26:00 PM,723
2018-02-22 11:46:00 AM,75
2018-02-21 06:19:00 PM,727
2018-02-21 11:30:00 AM,76
2018-02-20 10:06:00 PM,505
2018-02-20 06:45:00 PM,190
2018-02-20 09:50:00 AM,70
2018-02-20 05:13:00 AM,71
2018-02-19 07:35:00 PM,577
2018-02-19 02:49:00 PM,88
2018-02-19 10:01:00 AM,87
2018-02-18 06:00:00 PM,771
2018-02-18 10:53:00 AM,92
2018-02-18 06:16:00 AM,75
2018-02-17 06:48:00 PM,642
2018-02-17 02:26:00 PM,14
2018-02-17 01:24:00 PM,59
2018-02-17 08:14:00 AM,77
2018-02-16 07:04:00 PM,626
2018-02-16 11:35:00 AM,84
2018-02-16 07:37:00 AM,42
2018-02-15 07:17:00 PM,598
2018-02-15 01:00:00 PM,80
2018-02-15 09:50:00 AM,40
2018-02-14 07:41:00 PM,604
2018-02-14 06:39:00 PM,34
2018-02-14 11:46:00 AM,99
2018-02-13 06:52:00 PM,624
2018-02-13 06:42:00 PM,2
2018-02-13 06:08:00 PM,8
2018-02-13 12:41:00 PM,2
2018-02-13 11:27:00 AM,69
2018-02-13 11:04:00 AM,18
2018-02-13 06:20:00 AM,75
2018-02-12 07:16:00 PM,600
2018-02-12 01:37:00 PM,86
2018-02-12 08:55:00 AM,58
2018-02-11 06:46:00 PM,660
2018-02-11 02:18:00 PM,36
2018-02-11 01:28:00 PM,45
2018-02-11 09:26:00 AM,40
2018-02-10 07:50:00 PM,596
2018-02-10 02:30:00 PM,109
2018-02-10 09:23:00 AM,71
2018-02-09 06:26:00 PM,720
2018-02-09 11:20:00 AM,89
2018-02-08 11:43:00 PM,404
2018-02-08 06:42:00 PM,209
2018-02-08 11:35:00 AM,80
2018-02-07 06:45:00 PM,676
2018-02-07 11:40:00 AM,84
2018-02-06 07:43:00 PM,573
2018-02-06 02:37:00 PM,86
2018-02-06 09:30:00 AM,60
2018-02-06 12:18:00 AM,379
2018-02-05 06:39:00 PM,299
2018-02-05 01:52:00 PM,6
2018-02-05 01:05:00 PM,43
2018-02-05 08:16:00 AM,53
2018-02-04 08:08:00 PM,569
2018-02-04 01:50:00 PM,163
2018-02-04 09:30:00 AM,38
2018-02-03 07:18:00 PM,658
2018-02-03 02:20:00 PM,77
2018-02-03 08:53:00 AM,84
2018-02-03 08:40:00 AM,4
2018-02-02 06:50:00 PM,668
2018-02-02 01:34:00 PM,76
2018-02-02 08:32:00 AM,65
2018-02-01 06:31:00 PM,670
2018-02-01 11:30:00 AM,80
2018-02-01 05:50:00 AM,50
2018-01-31 06:35:00 PM,618
2018-01-31 06:35:00 PM,738
2018-01-31 11:44:00 AM,51
2018-01-31 12:16:00 AM,375
2018-01-30 06:45:00 PM,283
2018-01-30 02:14:00 PM,63
2018-01-30 10:59:00 AM,22
2018-01-30 10:46:00 AM,10
2018-01-30 06:45:00 AM,70
2018-01-30 03:16:00 AM,195
2018-01-29 07:25:00 PM,440
2018-01-29 02:08:00 PM,80
2018-01-29 10:05:00 AM,40
2018-01-29 10:05:00 AM,40
2018-01-28 07:10:00 PM,719
2018-01-28 02:28:00 PM,96
2018-01-28 09:40:00 AM,86
2018-01-27 07:51:00 PM,640
2018-01-27 02:56:00 PM,87
2018-01-27 10:30:00 AM,79
2018-01-26 07:37:00 PM,691
2018-01-26 12:41:00 PM,75
2018-01-25 07:40:00 PM,715
2018-01-25 12:36:00 PM,130
2018-01-25 04:15:00 AM,151
2018-01-24 07:38:00 PM,457
2018-01-24 12:30:00 PM,69
2018-01-23 07:11:00 PM,672
2018-01-23 12:31:00 PM,110
2018-01-22 07:32:00 PM,704
2018-01-22 02:27:00 PM,89
2018-01-22 09:52:00 AM,88
2018-01-22 04:31:00 AM,139
2018-01-21 07:04:00 PM,476
2018-01-21 02:13:00 PM,98
2018-01-21 09:17:00 AM,99
2018-01-20 07:28:00 PM,681
2018-01-20 02:10:00 PM,116
2018-01-20 10:01:00 AM,48
2018-01-19 07:18:00 PM,722
2018-01-19 01:07:00 PM,67
2018-01-19 08:59:00 AM,43
2018-01-18 08:01:00 PM,626
2018-01-18 03:27:00 PM,90
2018-01-18 10:27:00 AM,58
2018-01-17 07:27:00 PM,713
2018-01-17 02:29:00 PM,61
2018-01-17 01:54:00 PM,30
2018-01-17 10:08:00 AM,42
2018-01-17 07:15:00 AM,45
2018-01-16 08:19:00 PM,645
2018-01-16 07:28:00 PM,38
2018-01-16 04:01:00 PM,5
2018-01-16 03:05:00 PM,51
2018-01-16 10:50:00 AM,38
2018-01-15 07:32:00 PM,742
2018-01-15 03:22:00 PM,70
2018-01-15 10:41:00 AM,69
2018-01-15 06:26:00 AM,45
2018-01-14 07:17:00 PM,658
2018-01-14 02:30:00 PM,89
2018-01-14 09:31:00 AM,89
2018-01-14 05:11:00 AM,130
2018-01-13 08:24:00 PM,457
2018-01-13 03:31:00 PM,107
2018-01-13 10:26:00 AM,109
2018-01-13 05:15:00 AM,124
2018-01-12 07:39:00 PM,501
2018-01-12 12:54:00 PM,52
2018-01-11 07:45:00 PM,710
2018-01-11 12:56:00 PM,65
2018-01-10 08:02:00 PM,687
2018-01-10 12:50:00 PM,40
2018-01-10 05:31:00 AM,196
2018-01-09 08:16:00 PM,525
2018-01-09 04:38:00 PM,73
2018-01-09 10:50:00 AM,131
2018-01-09 04:30:00 AM,235
2018-01-08 08:28:00 PM,257
2018-01-08 02:40:00 PM,75
2018-01-08 09:10:00 AM,102
2018-01-07 08:14:00 PM,632
2018-01-07 03:50:00 PM,98
2018-01-07 03:01:00 PM,43
2018-01-07 10:47:00 AM,67
2018-01-06 09:09:00 PM,681
2018-01-06 05:53:00 PM,52
2018-01-06 05:16:00 PM,36
2018-01-06 10:53:00 AM,114
2018-01-06 06:31:00 AM,98
2018-01-05 08:04:00 PM,596
2018-01-05 12:29:00 PM,76
2018-01-04 08:05:00 PM,738
2018-01-04 01:03:00 PM,87
2018-01-04 04:31:00 AM,220
2018-01-04 12:01:00 AM,240
2018-01-03 07:46:00 PM,230
2018-01-03 12:41:00 PM,75
2018-01-03 06:20:00 AM,77
2018-01-02 08:07:00 PM,563
2018-01-02 04:04:00 PM,90
2018-01-02 11:27:00 AM,85
2018-01-02 04:40:00 AM,211
2018-01-01 08:25:00 PM,410
2018-01-01 03:25:00 PM,75
2018-01-01 08:52:00 AM,116
2017-12-31 07:40:00 PM,644
2017-12-31 03:04:00 PM,89
2017-12-31 09:40:00 AM,91
2017-12-30 08:22:00 PM,605
2017-12-30 03:36:00 PM,103
2017-12-30 09:47:00 AM,108
2017-12-29 07:18:00 PM,681
2017-12-29 01:40:00 PM,60
2017-12-29 08:56:00 AM,127
2017-12-29 04:30:00 AM,118
2017-12-28 07:48:00 PM,477
2017-12-28 12:57:00 PM,88
2017-12-27 07:36:00 PM,686
2017-12-27 01:01:00 PM,82
2017-12-27 02:45:00 AM,347
2017-12-26 08:23:00 PM,308
2017-12-26 02:13:00 PM,133
2017-12-26 09:16:00 AM,91
2017-12-25 07:10:00 PM,680
2017-12-25 01:18:00 PM,79
2017-12-25 08:32:00 AM,92
2017-12-24 07:32:00 PM,653
2017-12-24 03:34:00 PM,73
2017-12-24 09:32:00 AM,131
2017-12-24 01:31:00 AM,335
2017-12-23 07:53:00 PM,263
2017-12-23 02:56:00 PM,68
2017-12-23 09:14:00 AM,88
2017-12-22 07:34:00 PM,655
2017-12-22 12:56:00 PM,84
2017-12-21 07:23:00 PM,733
2017-12-21 12:30:00 PM,45
2017-12-20 07:03:00 PM,772
2017-12-20 12:26:00 PM,35
2017-12-19 06:51:00 PM,783
2017-12-19 02:18:00 PM,48
2017-12-19 09:47:00 AM,85
2017-12-19 05:00:00 AM,150
2017-12-18 07:30:00 PM,506
2017-12-18 02:20:00 PM,90
2017-12-18 10:20:00 AM,40
2017-12-17 07:18:00 PM,720
2017-12-17 01:41:00 PM,92
2017-12-17 09:26:00 AM,40
2017-12-17 12:18:00 AM,402
2017-12-16 07:28:00 PM,209
2017-12-16 01:10:00 PM,84
2017-12-16 09:13:00 AM,47
2017-12-15 07:14:00 PM,676
2017-12-15 12:26:00 PM,83
2017-12-15 05:31:00 AM,90
2017-12-14 07:18:00 PM,577
2017-12-14 12:30:00 PM,60
2017-12-13 07:26:00 PM,674
2017-12-13 12:50:00 PM,84
2017-12-12 08:16:00 PM,628
2017-12-12 04:14:00 PM,40
2017-12-12 09:51:00 AM,95
2017-12-11 07:17:00 PM,693
2017-12-11 03:12:00 PM,28
2017-12-11 09:47:00 AM,81
2017-12-11 03:33:00 AM,237
2017-12-10 07:05:00 PM,492
2017-12-10 01:15:00 PM,85
2017-12-10 09:55:00 AM,41
2017-12-10 07:09:00 AM,15
2017-12-10 05:35:00 AM,58
2017-12-10 04:20:00 AM,18
2017-12-10 04:05:00 AM,14
2017-12-09 07:11:00 PM,529
2017-12-09 12:52:00 PM,118
2017-12-09 09:09:00 AM,45
2017-12-09 12:53:00 AM,298
2017-12-08 07:23:00 PM,329
2017-12-08 12:35:00 PM,114
2017-12-07 07:24:00 PM,690
2017-12-07 12:46:00 PM,60
2017-12-07 08:31:00 AM,46
2017-12-06 07:05:00 PM,640
2017-12-06 12:18:00 PM,57
2017-12-05 08:10:00 PM,575
2017-12-05 02:56:00 PM,87
2017-12-05 10:09:00 AM,63
2017-12-04 11:31:00 PM,446
2017-12-04 06:47:00 PM,253
2017-12-04 12:02:00 PM,84
2017-12-04 08:12:00 AM,47
2017-12-03 07:54:00 PM,592
2017-12-03 07:47:00 PM,3
2017-12-03 07:39:00 PM,7
2017-12-03 02:11:00 PM,89
2017-12-03 09:04:00 AM,113
2017-12-02 07:35:00 PM,665
2017-12-02 02:45:00 PM,82
2017-12-02 10:04:00 AM,91
2017-12-02 02:48:00 AM,300
